part_name,vertex_count,percentage
head,1194,17.33
spine2,615,8.93
hips,487,7.07
leftHandIndex1,478,6.94
rightHandIndex1,478,6.94
rightHand,324,4.70
leftHand,324,4.70
leftArm,284,4.12
rightArm,284,4.12
spine1,267,3.88
rightUpLeg,254,3.69
leftUpLeg,254,3.69
leftForeArm,246,3.57
rightForeArm,246,3.57
spine,233,3.38
leftLeg,217,3.15
rightLeg,217,3.15
neck,156,2.26
leftShoulder,151,2.19
rightShoulder,151,2.19
leftFoot,143,2.08
rightFoot,143,2.08
leftToeBase,122,1.77
rightToeBase,122,1.77
