part_name,total_gaze,probability,average_per_frame,average_per_vertex,vertex_count
rightHand,6.173397467114869e-44,1.0275367938422536e-47,6.173397467114869e-44,1.9053695886157e-46,324
rightUpLeg,2.6516343513033294e-36,4.413537074672709e-40,2.6516343513033294e-36,1.0439505320091849e-38,254
leftArm,6.97554185356693e-05,1.1610504506971906e-08,6.97554185356693e-05,2.45617670900244e-07,284
leftLeg,6.417461279099119e-87,1.0681602184953918e-90,6.417461279099119e-87,2.9573554281562762e-89,217
leftToeBase,2.4190886671073455e-230,4.026474281399709e-234,2.4190886671073455e-230,1.9828595632027423e-232,122
leftFoot,9.94131190483048e-208,1.6546907623703253e-211,9.94131190483048e-208,6.951966367014322e-210,143
spine1,0.0003073063049099878,5.1149879293661124e-08,0.0003073063049099878,1.1509599434831003e-06,267
spine2,1335.5926035824937,0.22230393378606797,1335.5926035824937,2.1716952903780387,615
leftShoulder,14.864062660162258,0.0024740625191644237,14.864062660162258,0.09843750106067721,151
rightShoulder,0.5141933984830445,8.55853910114498e-05,0.5141933984830445,0.0034052542945896985,151
rightFoot,1.5381022581835307e-205,2.560108386661292e-209,1.5381022581835307e-205,1.0755959847437277e-207,143
head,3120.2599998291394,0.5193545326147727,3120.2599998291394,2.6132830819339525,1194
rightArm,1.769505614666166e-06,2.945269822112535e-10,1.769505614666166e-06,6.23065357276819e-09,284
leftHandIndex1,0.0,0.0,0.0,0.0,478
rightLeg,1.1722066644244795e-82,1.951090115450103e-86,1.1722066644244795e-82,5.401874029605896e-85,217
rightHandIndex1,0.0,0.0,0.0,0.0,478
leftForeArm,1.1643190325455044e-18,1.937961474349147e-22,1.1643190325455044e-18,4.733004197339449e-21,246
rightForeArm,1.3735808141939695e-19,2.2862691628370437e-23,1.3735808141939695e-19,5.583661846316949e-22,246
neck,1536.7263395782804,0.2557818226340726,1536.7263395782804,9.850809869091542,156
rightToeBase,1.3165692859701643e-228,2.1913758026813207e-232,1.3165692859701643e-228,1.079155152434561e-230,122
spine,6.650819970081501e-13,1.1070018194816514e-16,6.650819970081501e-13,2.854429171708799e-15,233
leftUpLeg,2.5637163960099545e-34,4.26720122899851e-38,2.5637163960099545e-34,1.0093371637834467e-36,254
leftHand,1.2618212228592096e-45,2.1002498877572085e-49,1.2618212228592096e-45,3.894509947096326e-48,324
hips,7.49376515562956e-22,1.2473066026997672e-25,7.49376515562956e-22,1.5387608122442629e-24,487
